Phage,Time,Temp,Rep,tr_1,tr_2,tr_3,Average,Dilution,PFU_ML,PFU_ML_round,Rel_PFU_ml
phage14_1,15,42,3,36,30,38,34.66666667,0,3466.666667,3467,0.050485437
phage14_1,20,37,1,20,23,22,21.66666667,0,2166.666667,2167,0.031553398
phage14_1,20,37,2,38,34,35,35.66666667,0,3566.666667,3567,0.051941748
phage14_1,20,37,3,26,24,23,24.33333333,0,2433.333333,2433,0.035436893
phage14_1,20,40,1,20,19,20,19.66666667,0,1966.666667,1967,0.028640777
phage14_1,20,40,2,36,24,36,32,0,3200,3200,0.046601942
phage14_1,20,40,3,39,33,25,32.33333333,0,3233.333333,3233,0.047087379
phage14_1,20,42,1,38,36,40,38,0,3800,3800,0.055339806
phage14_1,20,42,2,32,25,34,30.33333333,0,3033.333333,3033,0.044174757
phage14_1,20,42,3,50,46,38,44.66666667,0,4466.666667,4467,0.065048544
phage14_1,25,37,1,25,26,27,26,0,2600,2600,0.037864078
phage14_1,25,37,2,25,26,27,26,0,2600,2600,0.037864078
phage14_1,25,37,3,32,28,25,28.33333333,0,2833.333333,2833,0.041262136
phage14_1,25,40,1,21,44,34,33,0,3300,3300,0.048058252
phage14_1,25,40,2,22,35,30,29,0,2900,2900,0.04223301
phage14_1,25,40,3,31,38,33,34,0,3400,3400,0.049514563
phage14_1,25,42,1,27,17,25,23,0,2300,2300,0.033495146
phage14_1,25,42,2,38,33,36,35.66666667,0,3566.666667,3567,0.051941748
phage14_1,25,42,3,37,55,55,49,0,4900,4900,0.071359223
phage14_1,30,37,1,31,32,21,28,0,2800,2800,0.040776699
phage14_1,30,37,2,38,20,24,27.33333333,0,2733.333333,2733,0.039805825
phage14_1,30,37,3,41,34,34,36.33333333,0,3633.333333,3633,0.052912621
phage14_1,30,40,1,16,14,17,15.66666667,0,1566.666667,1567,0.022815534
phage14_1,30,40,2,26,20,20,22,0,2200,2200,0.032038835
phage14_1,30,40,3,29,26,29,28,0,2800,2800,0.040776699
phage14_1,30,42,1,24,41,9,24.66666667,0,2466.666667,2467,0.03592233
phage14_1,30,42,2,16,26,24,22,0,2200,2200,0.032038835
phage14_1,30,42,3,42,36,40,39.33333333,0,3933.333333,3933,0.057281553
